id,synthetic_event_id,diagnosis,recovery_probability,recommended_action,reason,confidence,decision_path,override_reason,created_at,ground_truth_recoverable,ground_truth_outcome,ground_truth_recovered_amount
d821bd41-e409-46e3-b9dd-5ca7720819e5,d3c2d507-1009-46f7-9d40-0f24f3e8e213,"Customer abandoned checkout with a transient network_error on netbanking after an unusually long 399-second checkout session. The customer is brand-new with zero transaction success, one prior failure, and a tenure of only 10 days. Their cart value (₹7,221.62) is ~2.8x their historical AOV (₹2,577.52), suggesting potential hesitation. However, one recovery attempt was already made 159 hours ago with no conversion, and the failure reason (network_error) is typically transient and retriable, indicating likely recoverable intent rather than a hard decline.",0.42,send_payment_link,"The failure reason (network_error) is transient and typically recoverable, suggesting payment method or session issue rather than customer intent loss. However, several signals temper confidence: the customer has zero prior successful payments, one prior failure, only 10 days of tenure, and a cart value nearly 3x their historical AOV indicating possible cart-value hesitation. The previous recovery attempt 159 hours ago failed to convert, so immediately pushing another urgent link (recover_now) risks customer fatigue without sufficient evidence of high intent. A standard payment link respects the recovery cooldown while giving the customer a low-friction second chance to complete a known-intent transaction. This balanced approach avoids over-contacting a new, unproven customer while still capitalizing on the recoverable failure type. If this second attempt also fails, escalation to the merchant or cessation would be warranted.",0.62,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,722162
dcd945dc-a82e-491b-b18b-c239e98b50c8,28bd61e5-6af4-4db9-910b-bf1fa6fcf148,"Customer abandoned netbanking checkout after 162 seconds. Likely causes include netbanking redirect friction (common with bank portal timeouts or authentication issues), hesitation on a high-value purchase (₹15,575 is 19.5x their average order value of ₹799), or confusion navigating between merchant and bank portals. The customer is brand new (2-day tenure) with 2 prior failures but no successful payment history, making purchase intent unclear but recovery opportunity still viable.",0.28,send_payment_link,"Standard recovery payment link is appropriate as first intervention since no prior recovery attempt was made. However, recovery probability is constrained by: (1) 2 failed prior payments with zero successes indicating payment method friction or customer hesitancy, (2) current order value being 19.5x higher than historical AOV suggesting potential cart abandonment or buyer's remorse, (3) new 2-day customer tenure lacking established trust. Netbanking abandonment is common due to multi-step redirects, so a payment link may provide a cleaner re-engagement flow. If this attempt fails, escalation to merchant review would be warranted for this high-value order.",0.65,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,1557548
44d00f05-bb19-4bd7-a810-5e48df5ea366,4f00fa6b-25b1-407a-b8cf-7f0a2b8b4686,"The checkout was explicitly abandoned by the customer rather than failing due to a technical payment error. The checkout duration of 453 seconds (7.5 minutes) suggests deliberation, but combined with 2 prior failed payments, no successful payment history, and a customer tenure of only 38 days, this indicates a low-trust, high-friction customer profile. The order value (₹4,096.72) is more than 2x their historical average AOV (₹1,787.38), which may have caused sticker shock or hesitation. Additionally, 2 previous recovery attempts have already been made on this transaction, with the last attempt only 130 hours ago (~5.4 days), meaning repeated outreach has not converted. Further automated pushing risks annoyance and brand damage without meaningful conversion upside given the abandonment pattern and lack of payment success precedent.",0.12,stop,"This transaction exhibits multiple compounding negative signals: (1) explicit customer_abandoned status with no technical failure cause, meaning the customer actively chose to leave; (2) zero prior successful payments and 2 prior failed payments, indicating a customer who has not yet converted despite multiple tries; (3) the current order value (₹4,096.72) is 129% above their historical AOV (₹1,787.38), suggesting price-driven abandonment rather than checkout friction; (4) 2 recovery attempts have already been exhausted on this same transaction with the most recent only ~130 hours ago, well within a typical recovery window, indicating diminishing returns from further automation; and (5) UPI abandonment after extended deliberation (453s) typically reflects deliberate disengagement, not transient issues. Continuing automated recovery would offer negligible upside while risking negative customer experience. Escalation to merchant is also unwarranted since the signal (price-sensitive abandonment with no success history) is clear. Ceasing attempts is the optimal bounded action.",0.86,ai_decision,,2026-08-30 06:59:21.080521+00:00,False,not_recovered,0
82dccdd2-49ff-4575-b037-ed26d7ac91e3,d7d8911c-d92b-4713-ae3c-a33ffcb602d8,"Transaction failed at the OTP verification step during card checkout, indicating the customer likely abandoned the flow due to OTP latency, distraction, or a timeout (118 seconds elapsed). The failure is transient/technical rather than a hard decline (e.g., insufficient funds or card block). However, this customer has zero successful payments in 54 days of tenure and one prior failure, with an average order value of ₹783, making this ₹10,998 transaction roughly 14x their typical spend. This unusually high ticket size significantly elevates abandonment risk and suggests possible hesitation or second thoughts beyond the OTP timeout itself.",0.38,send_payment_link,"OTP timeout is a transient failure typically recoverable, but multiple risk signals temper the probability: (1) Customer has 0 prior successful payments across 54 days of tenure, indicating low conversion history with this merchant; (2) The transaction amount (₹10,998) is ~14x the customer's historical AOV (₹783), strongly suggesting price shock or checkout hesitation, not just a momentary OTP delay; (3) Only 1 prior failure, so this is not a chronically failing customer; (4) No prior recovery attempts have been made, so a first outreach is warranted. 'send_payment_link' is preferred over 'recover_now' because the high-ticket, low-history profile warrants a less aggressive, standard-link approach rather than an urgent push, which could feel coercive given the customer's unfamiliarity with the merchant. A 118-second checkout suggests genuine engagement before drop-off, so re-engagement via link is reasonable, but the AOV mismatch caps realistic recovery probability below 0.4.",0.62,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,1099820
680c9773-1e79-475f-9a7e-53d77316ed81,55f5b0d7-f040-4e1f-b647-9cd13839f3f2,"The transaction failed due to a transient UPI network_error during checkout, which is typically a non-customer-side issue (e.g., intermittent connectivity, NPCI/bank server hiccup, or UPI app timeout). Despite being a new customer with only 13 days of tenure and no prior successful payments, the 148-second checkout duration indicates genuine purchase intent and meaningful engagement with the checkout flow. The absence of any prior recovery attempts creates a clean slate for intervention. The failure reason is highly recoverable since network errors are self-resolving, and the customer's behavior (sustained checkout time, AOV matching historical average closely at ~₹2,378 vs current ₹2,564) suggests a real buyer who was close to completing the purchase but hit a technical wall.",0.74,recover_now,"Strong indicators support immediate recovery action: (1) Failure reason is 'network_error', a classic transient failure highly amenable to immediate retry via a fresh payment link. (2) Checkout duration of 148 seconds demonstrates clear purchase intent and active engagement, not idle browsing. (3) The order value (₹2,564.31) closely aligns with the customer's historical AOV (₹2,378.93), confirming this is a typical purchase pattern rather than an outlier. (4) Zero prior recovery attempts means we are not at risk of over-contacting; the first intervention window is fully open. (5) Although the customer is new (13 days, 0 successes, 1 prior failure), the network_error cause is technical rather than behavioral, so new-customer status does not meaningfully reduce recovery odds. Sending an urgent Razorpay recovery link immediately capitalizes on the still-warm intent and the self-resolving nature of network errors, maximizing conversion before intent decays.",0.82,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,256431
2f49bea0-b7ac-40fb-826c-21f3518edea1,9aff36cf-5c7e-44c0-b996-b98d62de09cb,pre_filtered_high_value,0.0,escalate_to_merchant,"Amount exceeds automated recovery threshold (amount > ₹18,000)",1.0,pre_filtered,high_value_requires_human_review,2026-08-30 06:59:21.080521+00:00,True,recovered,1907483
71a0544b-95c2-4453-97e9-1a3ed6b2d9a3,4dbc02b8-7db9-4d74-ba3d-28b7123c6942,pre_filtered_high_value,0.0,escalate_to_merchant,"Amount exceeds automated recovery threshold (amount > ₹18,000)",1.0,pre_filtered,high_value_requires_human_review,2026-08-30 06:59:21.080521+00:00,False,not_recovered,0
ab65e348-c60a-4e4e-b3f8-bd3239a72305,6e832b5b-b100-4626-b451-0982ec2e173a,"Card issuer hard decline likely due to insufficient funds or credit limit constraint. The transaction amount (₹9,799.11) is approximately 3.1x the customer's historical average order value (₹3,165.82), suggesting the decline may be tied to spending limits or available credit rather than a permanent card block or customer abandonment. Customer has demonstrated payment capability with 3 prior successful transactions, indicating recoverable intent rather than unwillingness to pay.",0.42,send_payment_link,"The card_declined failure with no prior recovery attempts and a high-value transaction relative to customer history creates a favorable recovery window. Customer tenure of 63 days with 3 successful payments demonstrates established payment capability. The checkout duration of 312 seconds confirms genuine purchase intent. A standard payment link allows the customer to retry using alternative payment methods (UPI, net banking, different card) without the friction of immediate re-attempt. Recovery probability of 0.42 is appropriate given the amount anomaly and hard decline nature, but the customer's proven payment history and fresh recovery attempt status support attempting recovery rather than stopping.",0.78,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,979911
8d10ad4c-28ab-4aa5-9506-6fce4bddb3be,e9f83024-1eab-43e5-9c26-e743e4658327,"The transaction failed due to a network_error during netbanking payment processing. This is a transient technical failure where the customer's bank server was temporarily unresponsive or connectivity was interrupted during the payment authorization step. The customer spent 89 seconds actively engaged in checkout and attempted to complete payment, indicating genuine purchase intent. As a new customer with no prior payment failures, there is no behavioral evidence suggesting reluctance to pay.",0.82,recover_now,"Network errors are among the most recoverable failure types as they represent temporary technical interruptions rather than customer rejection. The 89-second checkout duration confirms the customer was actively engaged and motivated to complete purchase. Netbanking failures often resolve upon retry, especially if the customer switches to a more stable payment method (UPI/card). As a new customer with zero payment history and consistent average order value, immediate recovery outreach captures their purchase intent while interest is still high. No prior recovery attempts have been made, making immediate action optimal before the customer abandons the cart entirely.",0.88,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,222917
5cd2de9c-280e-48d7-86da-c39fb5adb20d,2a9cc125-9210-4acd-90ad-8931613ff51a,"The transaction failed due to a transient network_error during UPI processing, not a customer refusal or payment method decline. The customer is established (215 days tenure, 9 prior successful payments) with a recent successful transaction 47 hours ago, indicating active engagement. The failure is clearly technical in nature and the customer likely retains purchase intent.",0.85,recover_now,"network_error is a classic transient failure type with high recoverability. The customer has an 82% payment success rate (9/11), suggesting reliable payment behavior. The transaction amount (₹5,225.57) exceeds their historical AOV (₹1,378.56) by ~3.8x, indicating strong purchase intent. Zero prior recovery attempts and fresh failure context make immediate re-engagement optimal. The combination of transient technical failure, established customer relationship, recent activity, and high-intent signal strongly supports immediate recovery intervention via payment link.",0.88,ai_decision,,2026-08-30 06:59:21.080521+00:00,True,recovered,522557
